Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Mother's qualification,Father's occupation,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Target,Curricular 1st and 2nd sem PCA
1,8,2,10,1,1,13,10,1,0,0,1,0,0,18,0,False,1.5394766840030307
1,8,6,12,1,1,22,8,1,0,0,1,0,1,22,0,False,4.874736784455628
1,15,1,3,0,14,1,10,0,0,0,1,0,1,21,0,False,2.0595946742737326
1,1,1,10,1,1,22,10,0,0,0,1,0,1,19,0,False,1.654512846869423
1,12,1,11,1,1,13,8,0,0,0,1,0,1,24,0,False,2.611831504320449
1,1,1,12,1,1,22,7,1,0,0,1,0,1,19,0,False,3.9957738534444758
1,1,1,15,1,1,1,8,1,0,0,1,0,1,20,0,False,3.332561003987383
1,1,3,8,1,1,22,12,0,0,0,1,0,0,19,0,False,2.9570812426115616
1,12,1,17,0,1,23,10,0,0,0,1,0,0,27,0,True,1.9011728066931681
1,1,1,12,1,1,1,6,1,0,0,1,0,0,18,0,False,5.839748038479236
2,4,1,11,1,3,1,4,0,0,0,1,0,0,39,0,True,-13.449874968661195
1,12,1,8,1,15,3,3,1,0,0,1,0,0,27,0,True,7.291922751392121
1,8,1,12,1,1,23,11,1,0,0,1,0,0,18,0,False,6.932805969105644
1,1,3,2,1,1,23,10,1,0,0,1,0,0,18,0,False,-21.116404383116027
1,1,2,12,1,1,13,10,0,0,0,1,0,0,18,0,False,4.905938048895088
1,15,1,10,1,14,13,10,0,0,0,1,0,1,21,0,False,1.9763354545364002
1,8,3,2,1,1,1,8,1,0,0,1,1,1,19,0,False,-21.116404383116027
1,8,1,5,1,1,1,5,1,0,0,1,1,0,19,0,False,-1.7218595722843197
1,14,1,5,1,1,1,4,0,0,0,1,1,0,24,0,False,-14.795051153174013
4,13,1,12,1,12,1,6,1,0,0,1,1,0,29,0,True,3.152460522169722
1,1,3,2,1,1,13,4,1,0,0,1,1,1,19,0,False,-21.116404383116027
1,15,1,4,1,14,13,10,1,0,0,1,1,0,23,0,False,2.2091606201069567
1,1,3,9,1,1,1,8,0,0,1,1,1,0,19,0,True,0.4176794746911163
1,12,1,11,1,1,13,11,0,0,0,1,1,0,26,0,False,0.8068080180000088
1,8,1,9,1,1,23,6,0,0,0,1,1,0,18,0,False,-14.503433840318198
1,8,1,12,1,1,22,5,0,0,0,1,1,0,24,0,False,4.402200728712717
1,1,1,2,1,1,13,11,1,0,0,1,1,0,19,0,True,-21.116404383116027
1,8,4,11,1,1,23,8,1,0,0,1,1,0,18,0,True,2.164315426558222
1,1,2,15,1,1,23,10,1,0,0,1,1,0,18,0,False,2.5003099524939962
1,8,3,9,1,1,13,8,1,0,1,1,1,0,18,0,True,-0.52520197627085
1,9,4,11,1,1,13,8,1,0,0,1,1,1,21,0,True,-0.2717020466312192
1,8,4,15,1,1,1,9,1,0,1,1,1,1,19,0,False,2.185533375908971
1,8,4,12,1,1,23,10,0,0,0,1,1,1,22,0,False,6.435382882584477
2,12,1,3,0,1,22,7,0,0,0,1,1,0,33,0,False,1.211645722873282
1,1,6,16,1,1,13,10,1,0,0,1,1,0,20,0,True,1.306977640708432
1,12,1,17,0,2,3,3,1,0,0,1,1,0,35,0,True,-19.67838260288828
1,12,1,4,1,4,3,3,0,0,1,1,1,0,24,0,True,12.814071342970024
1,8,1,11,1,1,13,5,0,0,0,1,1,0,18,0,False,-0.5430167900570737
2,12,1,3,0,1,22,7,1,0,0,1,0,0,33,0,False,1.4394999413699914
1,13,1,12,1,1,22,8,1,0,0,1,0,1,22,0,False,4.49194468642014
1,12,1,14,1,1,1,6,0,0,0,1,0,1,25,0,False,-0.8397050689889056
1,8,1,5,1,1,13,1,1,0,0,1,1,0,20,0,False,0.3809387640634725
1,1,6,9,1,1,23,10,1,0,0,1,1,0,23,0,False,0.9454361592525835
1,14,2,7,1,1,23,7,1,0,1,1,1,0,18,0,False,-7.773876563546802
1,12,1,12,1,1,1,11,0,0,0,1,1,0,24,0,True,-10.042257774106762
1,8,2,15,1,1,13,10,1,0,0,0,0,0,21,1,False,2.429568899285094
1,6,1,8,1,1,1,5,0,0,0,1,0,0,26,1,True,-8.115660011588389
2,12,1,16,1,8,22,1,0,0,0,1,0,0,39,0,True,-3.123207537747934
2,12,1,3,0,1,22,10,0,0,0,1,0,0,44,0,False,4.12492812962234
1,6,1,7,1,1,23,3,1,0,0,1,1,0,19,1,False,3.4057144954696206
1,1,5,15,1,1,22,6,1,0,0,1,0,0,18,0,False,2.185533375908971
1,1,5,12,1,1,22,8,1,0,0,1,0,1,18,0,False,5.619258058494417
1,1,1,6,1,1,1,2,1,0,0,1,0,0,19,0,False,2.366459623708689
1,1,4,12,1,1,3,3,1,0,1,0,0,0,19,0,True,-5.787725083651997
1,17,1,6,1,16,23,10,0,0,0,1,0,0,21,0,True,9.539076173968127
1,1,4,2,1,1,1,11,1,0,0,1,0,0,20,0,False,-21.116404383116027
2,12,1,3,0,1,22,6,1,0,0,1,0,0,36,0,True,-18.82623156120867
4,12,1,4,1,9,22,7,0,0,0,1,0,0,43,0,False,22.379354082392545
1,9,1,16,1,1,13,8,1,0,0,1,0,0,19,0,True,-18.82623156120867
1,16,1,5,1,1,3,9,0,0,1,1,0,0,20,0,False,10.491780474081501
1,1,2,10,1,1,22,8,1,0,0,1,0,0,19,0,True,-18.82623156120867
1,1,1,6,1,1,1,5,1,0,0,1,0,0,20,0,True,7.898186765500949
1,1,5,12,1,1,3,4,1,0,0,1,0,0,20,0,True,4.161290044891668
1,8,2,16,1,1,13,4,1,0,0,1,0,0,20,0,False,3.9150989594553245
1,1,1,10,1,1,22,8,1,0,0,1,0,0,18,0,False,3.8014468093848066
1,8,2,9,1,1,1,8,1,0,0,1,0,1,18,0,False,1.1543789305642385
1,1,1,6,1,1,13,10,1,0,0,1,0,0,19,0,False,0.4600832518663758
1,1,3,15,1,1,1,8,1,0,0,1,0,0,18,0,False,1.6550167492050392
1,8,2,12,1,1,22,10,1,0,0,1,0,0,18,0,True,2.27674108498044
1,14,1,12,1,1,23,6,0,0,0,1,0,0,20,0,False,3.733609725516093
1,8,1,10,1,1,13,8,1,0,0,1,0,1,20,0,False,1.644278275900433
1,8,1,9,1,1,13,4,0,0,0,1,0,0,20,0,False,0.05067123469452284
1,1,2,6,1,1,22,8,0,0,0,1,0,0,18,0,False,1.9810754709133214
1,1,1,9,1,1,2,6,0,0,0,1,0,0,18,0,False,0.35659635618550567
1,8,1,11,1,1,1,6,1,0,0,1,0,0,21,0,True,1.6315381926957322
1,1,2,9,1,1,13,8,1,0,0,1,0,0,19,0,False,0.14732192235975106
1,1,1,2,1,1,3,10,0,0,0,1,0,0,19,0,True,-21.116404383116027
1,1,1,14,1,1,23,10,0,0,0,1,0,1,19,0,False,0.554173445620556
1,1,1,6,1,1,13,8,1,0,0,1,0,0,19,0,False,7.2195636694402765
1,8,6,13,1,1,1,6,1,0,0,1,0,0,19,0,True,-7.085435138284058
1,15,1,6,1,14,22,10,1,0,0,1,0,0,20,0,False,6.61513476982671
1,1,1,16,1,1,13,4,1,0,0,1,0,1,18,0,False,2.2066435614698534
1,8,3,10,1,1,1,4,1,0,0,1,0,0,18,0,False,2.374794878014111
1,8,6,12,1,1,1,10,1,0,0,1,0,0,19,0,False,5.757356170349002
1,1,3,12,1,1,13,9,1,0,0,1,0,1,18,0,True,5.375441542990451
1,8,2,5,1,1,22,10,1,0,0,1,0,0,18,0,False,1.379910533769067
1,1,4,9,1,1,1,9,1,0,0,1,0,0,19,0,False,1.240853562281881
1,8,6,12,1,1,1,4,1,0,0,1,0,0,19,0,True,-5.17660321946572
1,14,1,10,1,1,23,8,0,0,0,1,0,0,20,0,False,6.974684543319434
1,1,1,14,1,1,1,10,0,0,1,0,0,1,19,0,True,1.4036917769949326
1,8,1,14,1,1,13,6,1,0,0,1,0,0,20,0,False,-1.0485747922005082
1,1,1,15,1,1,1,39,0,0,1,1,0,1,18,0,False,3.5085856489780305
1,1,2,12,1,1,13,8,0,0,0,1,0,1,20,0,False,4.293036306090304
1,9,1,12,1,1,13,9,0,0,0,1,0,0,18,0,False,8.81839122941723
1,1,5,12,1,1,22,10,1,0,0,1,0,0,19,0,False,2.421726051755307
1,1,6,15,1,1,13,5,1,0,0,1,0,1,19,0,False,2.7456618748502066
1,16,1,9,1,1,3,4,1,0,1,0,0,0,22,0,False,-14.168589176024593
1,1,3,10,1,1,1,11,1,0,0,1,0,1,19,0,False,0.47254025567512414
1,1,3,12,1,1,13,8,1,0,0,1,0,1,19,0,False,6.13213846270413
1,8,5,16,1,1,22,7,1,0,0,1,0,1,19,0,False,1.8392580490390742
1,1,4,11,1,1,10,10,1,0,0,1,0,0,19,0,True,-12.48929301813547
1,8,1,11,1,1,1,11,1,0,0,1,0,0,20,0,True,1.6430012902602478
1,1,1,9,1,1,3,11,0,0,0,1,0,0,18,0,False,3.8347575954905935
1,1,1,12,1,1,1,10,0,0,0,1,0,1,20,0,False,5.248140803652529
1,1,1,2,1,1,3,9,1,0,0,1,0,0,18,0,False,-21.116404383116027
1,1,1,6,1,1,1,8,0,0,0,1,0,0,19,0,False,0.626259566452056
1,8,1,16,1,1,23,7,1,0,0,1,0,0,18,0,False,2.0629463480955614
1,1,1,16,1,1,22,10,1,0,0,1,0,0,18,0,False,1.9534693628690967
1,14,1,16,1,1,3,6,1,0,0,1,0,0,21,0,True,1.537604150433637
1,1,1,16,1,1,23,7,0,0,0,1,0,0,19,0,True,1.8759988867967223
1,1,1,9,1,1,23,10,0,0,0,1,0,1,18,0,False,-1.7214860889837666
1,8,2,10,1,1,1,10,1,0,0,1,0,1,18,0,False,1.7637365735628947
1,1,3,10,1,1,13,11,1,0,0,1,0,0,20,0,False,1.8758708882503043
1,12,1,3,0,1,1,9,0,0,0,1,0,1,24,0,False,2.6200283594545795
1,1,1,14,1,1,13,2,0,0,0,1,0,0,19,0,True,2.7835583436363507
1,1,1,12,1,1,13,8,1,0,0,1,0,1,18,0,False,5.697999097425182
1,1,2,12,1,1,13,10,1,0,0,1,0,0,18,0,False,6.625440570541848
1,8,5,16,1,1,10,5,1,0,0,1,0,0,21,0,True,2.1431911531182664
1,8,2,14,1,1,1,5,0,0,0,1,0,0,19,0,False,1.2210322159346383
1,8,1,15,1,1,13,8,0,0,0,1,0,1,19,0,False,1.7948678378268816
3,12,1,4,1,1,1,7,0,0,1,1,0,0,47,0,False,-19.502326853651205
1,8,3,10,1,1,13,9,0,0,0,1,0,0,19,0,False,2.4931694521777708
1,12,1,12,1,3,2,2,0,0,0,1,0,0,29,0,False,5.887680891966202
1,14,1,10,1,1,13,9,1,0,0,1,0,0,21,0,True,2.6146791832700167
1,12,1,6,1,1,22,8,1,0,0,1,0,0,28,0,False,2.021698406679633
1,8,2,13,1,1,22,11,0,0,0,1,0,0,20,0,False,4.53594164469871
1,8,1,12,1,1,2,6,1,0,0,1,0,0,19,0,False,1.4503053620329673
1,13,1,3,0,1,13,7,0,0,0,1,0,0,26,0,False,1.3347791759339565
1,8,2,11,1,1,22,9,1,0,1,0,0,0,20,0,True,1.2358975056306605
1,1,1,14,1,1,22,10,1,0,0,1,0,1,18,0,False,-0.592226873796843
1,12,1,16,1,1,22,6,0,0,0,1,0,0,27,0,False,3.023995894732085
1,1,2,12,1,1,19,12,1,0,0,1,0,0,20,0,True,1.168937326268022
1,1,5,16,1,1,22,6,1,0,0,1,0,0,18,0,True,2.159285998010464
1,4,1,12,1,3,1,6,0,0,0,1,0,0,33,0,True,6.295624112246017
1,14,1,16,1,1,3,4,1,0,0,1,0,0,35,0,False,28.516683926722948
1,15,1,17,0,14,22,9,0,0,0,1,0,1,26,0,False,2.7615532708757087
1,12,1,15,1,12,13,5,0,0,1,0,0,0,27,0,True,-7.519111523413899
1,9,3,5,1,1,1,6,1,0,0,0,0,0,19,0,True,-7.127722112010531
1,8,2,11,1,1,1,7,0,0,0,1,0,0,20,0,True,-18.82623156120867
1,9,2,9,1,1,3,8,1,0,1,0,0,0,20,0,True,-1.16498189657079
1,14,1,10,1,1,1,10,0,0,1,0,0,0,21,0,False,6.984428755584528
1,8,3,12,1,1,23,5,1,0,0,1,0,1,18,0,False,2.8004154731724924
1,12,1,6,1,1,1,10,1,0,0,1,0,0,24,0,True,-7.586267419651932
1,8,4,5,1,1,1,2,1,0,0,1,0,0,20,0,False,0.8077070815689247
1,1,1,11,1,1,13,9,0,0,0,1,0,1,21,0,False,1.3016498051565542
1,1,1,3,0,1,1,4,0,0,0,1,0,0,23,0,False,0.19239541086954048
1,12,1,9,1,1,10,4,1,0,0,1,0,0,24,0,True,-15.848610024831014
1,16,1,16,1,1,1,11,0,0,0,1,0,0,21,0,True,-18.82623156120867
1,1,4,12,1,1,23,9,1,0,0,1,0,0,18,0,False,3.664943440641995
1,12,1,17,0,15,13,5,1,0,0,1,0,0,27,0,True,-19.207927031526562
1,9,6,12,1,1,22,6,1,0,0,1,0,0,18,0,False,4.955800217946155
1,4,1,7,1,3,3,3,0,0,0,1,0,0,35,0,True,-19.207927031526562
1,1,1,16,1,1,13,9,0,0,0,1,0,0,18,0,False,4.894168778126897
1,12,1,12,1,1,1,19,0,0,0,1,0,0,35,0,False,-4.368172267848308
1,1,1,6,1,1,1,8,1,0,0,1,0,0,19,0,False,4.49636169648797
1,1,4,10,1,1,13,1,1,0,0,1,0,0,20,0,False,0.6441867272741213
1,1,4,12,1,1,13,8,1,0,0,1,0,0,18,0,False,3.74538554134055
1,15,1,10,1,14,23,11,0,0,1,1,0,0,21,0,False,1.573269998942603
1,8,2,10,1,1,13,9,0,0,0,1,0,1,18,0,False,2.3722785995282116
1,1,1,10,1,1,19,1,1,0,0,1,0,0,18,0,False,0.39272464394929685
1,1,2,12,1,1,13,10,1,0,0,1,0,0,18,0,False,4.328237955173954
1,1,4,15,1,1,3,5,1,0,0,1,0,1,18,0,False,2.6912194531673634
1,1,1,6,1,1,13,8,1,0,0,1,0,0,19,0,False,3.693330152848546
1,12,1,11,1,12,3,4,0,0,0,1,0,1,36,0,True,1.9753465753340116
1,1,2,12,1,1,23,5,1,0,0,1,0,1,18,0,False,4.060097619512099
1,1,1,12,1,1,22,10,0,0,0,1,0,1,18,0,False,2.668697413549122
1,14,1,8,1,1,1,3,1,0,0,1,0,1,20,0,False,5.753142909298905
1,12,1,17,0,1,22,10,0,0,0,1,0,1,26,0,True,-14.169313866941893
1,14,1,15,1,1,1,6,0,0,0,1,0,0,21,0,False,1.581640702854063
1,12,1,13,1,15,1,6,0,0,0,1,0,0,25,0,False,4.945999350169782
1,9,1,9,1,1,13,6,1,0,0,1,0,1,19,0,False,-0.6748818544646262
1,12,1,3,0,1,13,8,1,0,0,1,0,0,24,0,True,-8.038086547553151
1,12,1,3,0,1,1,5,0,0,0,1,0,1,27,0,True,-4.007846812044313
1,8,1,6,1,1,13,4,0,0,0,1,0,0,21,0,True,-5.323006208475899
1,1,1,9,1,1,23,8,0,0,0,1,0,1,18,0,False,0.46916124068993525
2,1,4,16,1,1,22,8,0,1,0,1,0,1,19,0,False,2.6235748579912084
1,1,3,11,1,1,1,4,1,0,0,1,0,0,18,0,True,2.156645426489508
1,16,1,12,1,1,13,10,0,0,0,1,0,1,19,0,False,4.250274811044605
1,9,1,12,1,1,1,6,1,0,0,1,0,1,19,0,False,5.565634452659534
2,4,1,17,0,17,25,4,0,0,0,1,0,0,33,0,False,4.024804808689044
2,4,1,9,1,3,1,11,0,0,0,1,0,0,45,0,False,-0.17154545743542116
1,1,1,10,1,1,1,10,0,0,0,1,0,1,20,0,False,1.483624312129887
1,12,2,14,1,1,19,1,1,0,0,1,0,0,28,0,True,-15.848610024831014
1,14,1,12,1,1,1,9,1,0,0,1,0,1,19,0,False,7.704692735483803
1,1,2,11,1,1,1,6,1,0,0,1,0,0,18,0,False,1.9150755021507742
1,12,1,11,1,3,13,7,0,0,0,1,0,0,38,0,True,-18.82623156120867
1,1,2,14,1,1,1,4,0,0,0,1,0,0,19,0,False,0.13788123014307985
1,1,1,11,1,1,1,10,0,0,0,1,0,1,21,0,False,1.3049362595310043
1,1,1,9,1,1,22,11,0,0,0,1,0,0,21,0,True,3.476177107019737
1,1,1,10,1,1,23,10,0,0,0,1,0,1,22,0,False,1.1949297893676736
1,1,1,16,1,1,13,8,0,0,0,1,0,1,18,0,False,2.669409016982474
1,8,2,10,1,1,22,10,0,1,0,1,0,1,18,0,False,2.1883762531423763
1,1,1,8,1,1,13,10,1,0,0,0,0,0,25,0,True,5.015663838248592
1,12,1,6,1,12,13,8,0,0,1,0,0,0,24,0,True,2.640963703177711
1,1,3,12,1,1,3,5,1,0,0,1,0,0,19,0,False,3.353511753908794
1,7,1,2,1,1,3,4,1,0,0,1,0,0,24,0,False,17.615149264237218
1,1,2,9,1,1,22,6,1,0,0,1,0,1,20,0,False,-0.32435443853349
1,12,1,9,1,1,22,2,0,0,0,0,0,0,25,0,True,-14.506332603987397
1,1,1,9,1,1,23,11,0,0,0,1,0,1,20,0,False,10.40048577949549
1,4,1,12,1,3,13,4,0,0,0,1,0,0,23,0,False,5.238582427200075
1,8,3,12,1,1,13,7,1,0,0,1,0,1,19,0,False,4.562507932646948
1,15,1,4,1,14,22,11,0,0,1,0,0,0,29,0,True,1.9259798478564534
1,1,3,11,1,1,13,8,1,0,0,1,0,0,21,0,False,1.270976696557586
1,1,1,14,1,1,13,9,1,0,0,1,0,1,18,0,False,5.799011041047329
1,1,3,5,1,1,13,10,1,0,0,1,0,0,19,0,False,0.8326913288043798
1,1,3,15,1,1,23,8,1,0,0,1,0,1,18,0,True,2.5648580896374007
1,1,1,6,1,1,7,7,0,0,0,1,0,0,19,0,False,1.3742918509775208
1,1,1,15,1,1,22,9,1,0,0,1,0,0,18,0,False,-5.21226465868655
1,8,1,9,1,1,1,5,0,0,0,1,0,0,18,0,False,-0.031202501935343463
2,12,1,13,1,12,23,8,1,0,1,0,0,1,37,0,True,-2.1126366768330165
1,8,1,17,0,15,22,7,0,0,0,1,0,0,29,0,False,4.66842084812799
1,8,3,5,1,1,22,10,0,0,0,1,0,0,18,0,False,0.8859678101814374
1,1,1,10,1,1,1,9,1,0,0,1,0,1,19,0,False,1.962801866730544
1,14,1,10,1,1,1,2,1,0,1,0,0,0,22,0,True,5.962082908410089
1,1,1,11,1,1,22,8,0,0,0,1,0,1,20,0,False,1.3149894794966954
1,12,1,3,0,1,22,13,0,0,0,1,0,0,34,0,True,-18.82623156120867
1,14,1,7,1,1,22,10,0,0,1,0,0,0,30,0,True,13.307136608323482
1,1,1,10,1,1,1,5,0,0,0,1,0,0,18,0,False,3.35721117767109
1,1,1,10,1,1,23,6,0,0,0,1,0,0,18,0,False,1.1065166262160346
1,1,2,15,1,1,3,4,1,0,0,1,0,0,18,0,False,2.1688873334021572
1,8,4,12,1,1,4,4,1,0,0,1,0,0,18,0,False,6.219332954052309
1,1,2,15,1,1,23,10,1,0,0,1,0,1,19,0,False,1.232125447782213
1,1,1,5,1,1,22,10,1,0,0,1,0,1,19,0,False,2.1128221625316463
1,1,5,12,1,1,1,10,0,0,0,1,0,1,18,0,False,5.076208365178083
1,15,1,4,1,14,22,9,0,0,0,1,0,1,21,0,False,2.820063413831626
1,1,2,9,1,1,1,10,1,0,0,0,0,0,20,0,True,0.5157086670520954
1,8,1,9,1,1,10,9,1,0,0,1,0,0,20,0,False,2.6208733194096254
1,1,1,12,1,1,5,6,0,0,0,1,0,0,19,0,False,4.992978188073103
1,1,1,10,1,1,1,6,0,0,0,1,0,0,20,0,False,4.662465861902568
1,8,3,12,1,1,10,11,1,0,0,1,0,0,18,0,False,5.7184430941488955
1,13,1,16,1,1,22,4,0,0,0,1,0,0,20,0,True,0.36503928712836853
2,4,1,8,1,3,5,1,0,0,1,0,0,0,29,0,True,8.725785592696223
1,1,1,12,1,1,13,7,0,0,0,1,0,1,18,0,False,4.946632730044627
1,1,1,12,1,1,13,6,1,0,0,1,0,1,20,0,False,6.111081344894309
1,7,2,9,1,1,23,10,1,0,0,1,0,1,22,0,False,0.1480779994042436
4,1,1,3,0,1,24,11,1,0,0,1,0,1,47,0,False,3.882445381900258
2,16,1,17,0,1,22,5,0,0,0,1,0,0,31,0,False,1.050330931440005
1,1,1,5,1,1,13,6,0,0,0,1,0,1,21,0,False,2.017557441511368
1,1,1,3,0,1,23,1,0,0,0,1,0,0,21,0,False,2.7204234078339766
2,12,1,15,1,9,1,5,0,0,0,1,0,0,24,0,False,1.7268207133336304
1,8,1,5,1,1,4,10,0,0,0,1,0,0,18,0,False,1.7908480721432056
1,12,1,3,0,11,19,3,0,0,0,1,0,0,32,0,False,2.2594287182338277
1,9,2,3,0,1,3,5,1,0,0,1,0,1,19,0,False,1.577378520895298
1,12,1,12,1,1,3,2,1,0,0,1,0,0,24,0,False,5.401583525983991
1,8,4,6,1,1,13,11,1,0,0,1,0,0,19,0,False,7.432066576506362
1,15,1,4,1,14,13,7,0,0,1,1,0,1,19,0,False,4.103315541939033
1,15,1,4,1,14,22,5,0,0,0,1,0,0,24,0,False,4.011207383045118
1,8,4,10,1,1,13,29,1,0,0,1,0,1,18,0,False,2.06030258172947
1,1,1,5,1,1,23,7,1,0,0,1,0,1,19,0,True,1.222367213448301
2,1,1,12,1,1,3,5,0,0,0,1,0,1,19,0,False,6.117721879485714
1,8,2,15,1,1,13,9,1,0,0,1,0,1,18,0,False,2.5942164738143063
1,1,1,10,1,1,1,4,1,0,0,1,0,0,18,0,False,2.6922705883886167
1,8,4,13,1,1,1,11,1,0,0,1,0,0,20,0,False,4.002649597069858
1,1,1,12,1,1,13,8,0,0,0,1,0,0,18,0,False,6.233066169498045
1,8,4,14,1,1,23,8,1,0,0,1,0,0,18,0,False,4.0574992052724035
1,1,2,6,1,1,23,10,1,0,0,1,0,1,21,0,False,-0.4894175873322233
1,1,1,12,1,1,13,10,0,0,0,1,0,1,18,0,False,7.807928333218548
1,16,1,14,1,1,13,6,0,0,1,0,0,0,18,0,True,-2.169851292923486
1,8,2,10,1,1,1,4,1,0,0,1,0,0,19,0,True,-15.12699705379842
1,1,1,14,1,1,1,11,1,0,0,1,0,0,19,0,False,0.18432003634453764
1,8,4,14,1,1,1,6,1,0,0,1,0,0,18,0,False,3.737856318063134
1,12,1,8,1,3,3,12,1,0,0,1,0,0,34,0,True,-9.831522536490832
1,1,3,6,1,1,9,12,0,0,0,1,0,0,19,0,False,1.5213715101332568
1,15,1,8,1,14,22,9,1,0,1,0,0,0,19,0,True,1.2219087665040114
1,16,1,10,1,1,3,2,0,0,1,1,0,0,26,0,False,4.002494309027483
1,8,1,16,1,1,19,1,1,0,0,1,0,0,21,0,True,1.5860269469512858
1,8,2,9,1,1,13,9,0,0,0,1,0,1,18,0,False,-1.4356894731348753
1,8,4,16,1,1,23,8,1,0,0,1,0,1,20,0,False,3.2999942888322273
1,16,1,9,1,1,1,5,0,0,0,1,0,0,25,0,True,-7.869107999465063
1,1,1,9,1,1,1,4,0,0,0,1,0,0,18,0,False,3.299114661103907
1,1,1,12,1,1,13,7,1,0,0,1,0,1,18,0,False,6.874746584370595
1,1,1,12,1,1,26,6,0,0,0,1,0,0,19,0,False,5.530196075808096
1,1,1,10,1,1,13,10,0,0,0,1,0,1,18,0,False,2.311128649438462
1,8,1,12,1,1,23,8,0,0,0,1,0,0,20,0,False,5.403884301138966
1,4,1,6,1,15,13,6,0,0,1,0,0,0,26,0,True,-18.424783025966498
1,13,1,12,1,1,22,10,1,0,0,1,0,1,19,0,False,4.470775712552101
